Country,Componenta 1,Componenta 2,Componenta 3,Componenta 4,Componenta 5
Albania,0.010401533102235969,0.6879557271697462,0.08205580632632709,0.0043128050337814285,0.21527412836790932
Andorra,0.6305271181328076,0.0048206613945459475,0.22333327033001604,0.09526596237268496,0.04605298776994552
Armenia,0.23097462671088229,0.5138331126357087,0.132653593103724,0.06308048602007098,0.05945818152961395
Austria,0.046508932505997656,0.5693354904932335,0.3712399554370441,0.0050682050194794225,0.007847416544245492
Azerbaijan,8.079622290122307e-07,0.2672300102640872,0.15083606801715155,0.440260033484706,0.1416730802718263
Belarus,0.5222075794534773,0.4508502188121317,0.0191943838867303,0.0012031407094328795,0.0065446771382280024
Belgium,0.02031259514503738,0.0900360208579476,0.6497274399808196,0.18551265665677602,0.05441128735941941
Bosnia and Herzegovina,0.2975306692080799,0.4285402631826301,3.650120114929555e-06,0.1465415991071139,0.12738381838206125
Bulgaria,0.1905129742501447,0.429457139689402,0.3493075563363751,0.01489100669685043,0.01583132302722779
Croatia,0.915809380018745,0.02103569834223506,0.0008502775664224507,0.062290872458924035,1.3771613673530943e-05
Cyprus,0.44241674927105695,0.347597794149153,0.001101352296963445,0.1988309176273827,0.01005318665544398
Denmark,0.5524008974291856,0.20368849944222683,0.019892250238800254,0.130906495021273,0.09311185786851427
Estonia,0.5108732922227169,0.340990027160843,0.0019738195210296894,0.1049251634791759,0.04123769761623439
Finland,0.047726332514036525,0.5831987685323735,0.33991831338378997,0.01798985165338219,0.01116673391641783
France,0.05007363267033971,0.15445072749308875,0.4239300627181132,0.36872998686891645,0.002815590249541918
Georgia,0.06280718371798757,0.7446278312669278,0.04081507460783545,0.10642108693798874,0.04532882346926045
Germany,0.20369114442072042,0.04132433648265046,0.1962436104271208,0.17903049919080247,0.3797104094787059
Greece,0.0001571059446959919,0.9220484587398523,0.0027500030729112066,0.006625291195339653,0.06841914104720065
Hungary,0.7921621868605132,0.08871689502895554,0.05660956661434892,0.053571739933062454,0.00893961156312003
Iceland,0.6277521818154695,0.17654246607736382,0.0026309453715319463,0.17517561198674905,0.01789879474888553
Ireland,7.65071655304389e-05,0.12415166382965366,0.4110794196079423,0.07973314888993907,0.38495926050693446
Italy,0.004798847504670009,0.7170069064757159,0.09776039378993596,0.17720033868696683,0.003233513542711411
Latvia,0.33825235766702716,0.3961848050206758,0.00011023498130075577,0.07193464327038183,0.19351795906061436
Liechtenstein,0.09063862333485775,0.02434070581708333,0.7203663926316783,0.16218155454922217,0.0024727236671585077
Lithuania,0.4143731104238961,0.4460996030427633,4.5522760563225676e-05,0.0065757891100750275,0.13290597466270232
Luxembourg,0.1949731332882253,0.22800181546757162,0.01909982907393546,0.4246981173184801,0.13322710485178763
Malta,0.20138533926329705,0.2608696915103715,0.41760537787409546,0.024871787629828956,0.09526780372240722
Moldova,0.8540113317908685,2.148542178569723e-06,0.01605587509185661,0.011239184791501646,0.11869145978359462
Monaco,0.616658686317707,0.1109815277280127,2.217578408033455e-05,0.2621914402136395,0.010146169956560515
Montenegro,0.08675290597713159,0.2289527233622912,0.045924122016902304,0.2227763201243199,0.415593928519355
Netherlands,0.8355946172593519,0.02275671111493413,0.01473233857650107,0.12469660311359014,0.0022197299356227366
Norway,0.7934522061497249,0.1119016321378222,0.05380015087968957,0.027131515759598282,0.013714495073164962
Poland,0.9237544485288472,0.03031580761058792,0.014068472797589241,0.03140581603528684,0.0004554550276888503
Portugal,0.07882334284248835,0.07530926884718839,0.2194696847948331,0.39128857299966135,0.23510913051582888
Romania,0.7660550092147578,0.11799086389532638,0.0067202504771044095,0.0029791099588078324,0.1062547664540037
San Marino,0.8400176461855966,0.002330185148191033,0.14845634517390285,0.0017373523498757544,0.007458471142433708
Serbia,0.22486276261495192,0.0037442482607756996,0.3069764609128285,0.34916615993688394,0.1152503682745598
Slovenia,0.5323583604321754,0.13096446451472576,0.3036913406247319,0.0026628949148241586,0.03032293951354268
Spain,0.0633880073871075,0.351426812618341,0.3982216069311222,0.006052163727892307,0.18091140933553707
Sweden,0.795928687945463,0.1571886231193869,0.023657363082544344,0.014961738236877952,0.008263587615727649
Switzerland,0.42021013607349067,0.4016516667626757,0.13670615381148177,0.039518544095843725,0.001913499256508097
Ukraine,0.6834661022474733,0.2532275544245782,0.00882710256969841,0.05042311089066705,0.004056129867583098
United Kingdom,0.37729391207698004,0.050020418356193044,0.16679783770606987,0.0693807174706778,0.33650711439007924
