Country,Alcohol consumption,Income per person,Suicide per 100th,Employ rate,Urban rate
Albania,7.29,1914.996551,7.699329853,51.40000153,46.72
Andorra,10.17,21943.3399,5.362178802,58.63595508224719,88.92
Armenia,13.66,1326.741757,3.741587877,40.09999847,63.86
Austria,12.4,26692.98411,13.09437,57.09999847,67.16
Azerbaijan,13.34,2344.896916,1.380964637,60.90000153,51.92
Belarus,18.85,2737.670379,26.8746903,53.40000153,73.46
Belgium,10.41,24496.04826,15.95385,48.59999847,97.36
Bosnia and Herzegovina,9.6,2183.344867,11.8367157,41.20000076,47.44
Bulgaria,11.4,2549.558474,9.216544,47.29999924,71.1
Croatia,15.0,6338.494668,14.77625,47.09999847,57.28
Cyprus,8.84,15313.85935,2.206169,59.09999847,69.9
Denmark,12.02,30532.27704,8.973104,63.09999847,86.68
Estonia,17.24,6238.537506,16.95924,56.5,69.46
Finland,13.1,27110.73159,16.23437,57.20000076,63.3
France,12.48,22878.46657,14.09153,51.20000076,77.36
Georgia,6.66,1258.762596,1.574350119,55.59999847,52.74
Germany,12.14,25306.18719,9.211085,53.5,73.64
Greece,11.01,13577.87989,2.816705,49.59999847,61.0
Hungary,16.12,5634.003948,20.16201,47.29999924,67.5
Iceland,7.38,33945.31442,11.42618084,73.59999847,92.26
Ireland,14.92,27595.09135,10.36507,59.90000153,61.34
Italy,9.72,18982.26929,4.930044509,46.40000153,68.08
Latvia,13.45,5011.219456,20.36959,56.79999924,68.12
Liechtenstein,6.689411764705882,81647.10003,9.640839010502617,58.63595508224719,14.32
Lithuania,16.3,5332.238591,33.34186,53.09999847,66.96
Luxembourg,12.84,52301.58718,12.40591812,53.5,82.44
Malta,4.1,11066.78414,4.551121235,46.79999924,94.26
Moldova,23.01,595.8745345,15.53849,44.29999924,41.76
Monaco,6.689411764705882,105147.4377,11.1510725,58.63595508224719,100.0
Montenegro,6.689411764705882,2222.335052,9.640839010502617,58.63595508224719,60.18
Netherlands,9.75,26551.84424,8.164005,61.29999924,81.82
Norway,8.35,39972.35277,10.823,65.0,77.48
Poland,14.43,6575.745044,13.63706,48.70000076,61.32
Portugal,13.89,11744.83417,8.188375473,57.59999847,59.46
Romania,16.15,2636.7878,10.05932,49.5,54.24
San Marino,6.689411764705882,31993.20069,6.087670803,58.63595508224719,94.22
Serbia,12.21,1194.711433,13.71634,58.63595508224719,52.04
Slovenia,14.94,12729.4544,19.42261,55.90000153,48.6
Spain,11.83,15461.75837,5.888479,52.5,77.12
Sweden,9.5,32292.48298,11.11583,60.70000076,84.54
Switzerland,11.41,37662.75125,13.23981,64.30000305,73.48
Ukraine,17.47,1036.830725,18.95457,54.40000153,67.98
United Kingdom,13.24,28033.48928,6.014659,59.29999924,89.94
