,Alcohol consumption,Income per person,Suicide per 100th,Employ rate,Urban rate
Albania,-1.219724752216834,-0.8259869655502785,-0.572011696462796,-0.5089897639733358,-1.3050533670776128
Andorra,-0.46412227508855514,0.12278121250245339,-0.9318224283608749,0.5800960358343379,1.188260846334723
Armenia,0.4515210044870328,-0.8538533456801175,-1.181316788848247,-2.2097570203644854,-0.2923660301608489
Austria,0.12094492074341086,0.3477779186701358,0.2585693406854052,0.3489186901755041,-0.09739122200301238
Azerbaijan,0.36756517369500175,-0.8056220367622158,-1.544741127791419,0.9208584272107758,-0.9978203360410214
Belarus,1.8131796351452856,-0.7870158566910829,2.3800869596734615,-0.20796909214510179,0.27483341175285747
Belgium,-0.40115540199453187,0.2437062644458086,0.6987940284340612,-0.9304191650944905,1.68692368901719
Bosnia and Herzegovina,-0.6136685986868604,-0.8132749634431472,0.06495005623045014,-2.0441953061902876,-1.2625134089340848
Bulgaria,-0.14141705048168596,-0.7959269576377215,-0.3384324708305416,-1.1260824858898848,0.1353968822824046
Croatia,0.8030860459286625,-0.6164402159288064,0.5174993202029082,-1.156184668965666,-0.6811339809725352
Cyprus,-0.8130636968179339,-0.19126573952234147,-1.4176986819514394,0.6499393620037381,0.06449695204319193
Denmark,0.021247371677873866,0.5296501232121409,-0.3759107179193597,1.2519807056602061,1.0559143098881918
Estonia,1.3907768614728788,-0.621175314225331,0.853576540924312,0.2586127189078474,0.03850031095547968
Finland,0.3045983006009784,0.3675671497902178,0.7419808419131738,0.3639700684355849,-0.3254526642724819
France,0.1419338784414186,0.16707935596266713,0.41208482239377536,-0.5390919470491172,0.5052581850303011
Georgia,-1.385012794088645,-0.8570736052694231,-1.5149689092661718,0.12315318630432856,-0.9493720503775589
Germany,0.052730808224885746,0.2820835791938139,-0.339272898660224,-0.19291828883450363,0.28546840128873985
Greece,-0.24373821925947387,-0.2735013014308306,-1.3237050117878737,-0.7799088291803735,-0.4613441972309739
Hungary,1.0969314537007713,-0.6498128401754758,1.3466516535954138,-1.1260824858898848,-0.07730290843523506
Iceland,-1.1961121748065753,0.6913300585029521,0.0017471030524465899,2.832339232758435,1.3855989855005337
Ireland,0.7820970882306547,0.3905118896026698,-0.1616137836142602,0.7703480912966588,-0.4412558836631966
Italy,-0.5821851621398485,-0.017488480241527875,-0.998350672727477,-1.261541443543921,-0.04303460881961539
Latvia,0.3964249905297622,-0.6793149361550636,1.3786091565969616,0.303765705294227,-0.04067127781164124
Liechtenstein,-1.3772962655232008,2.9510245042405936,-0.27311110522846466,0.5800960358343379,-3.2193514835363723
Lithuania,1.1441566085212884,-0.6641078501506575,3.375725244186754,-0.25312265348096397,-0.10920787704288143
Luxembourg,0.23638418808245332,1.5608901194060303,0.15258030984659018,-0.19291828883450363,0.8054012230429708
Malta,-2.056659440424893,-0.392455110946105,-1.0566869366556557,-1.2013376538469431,1.5037655358992226
Moldova,2.904605435441688,-0.8884754585032636,0.6348482318894861,-1.5776134936322357,-1.598106412066361
Monaco,-1.3772962655232008,4.064265483100841,-0.0406065707181521,0.5800960358343379,1.8429035355434593
Montenegro,-1.3772962655232008,-0.8114279486331961,-0.27311110522846466,0.5800960358343379,-0.5097924828944365
Netherlands,-0.5743143030030958,0.34109194295177026,-0.5004736995218713,0.9810622169077535,0.7687695924193769
Norway,-0.9416210627182314,0.9768385548743682,-0.09111422031577848,1.537950574177842,0.5123481780542227
Poland,0.6535397223303572,-0.6052013629164785,0.34211793546288866,-0.9153677868344098,-0.4424375491671837
Portugal,0.5118642578688052,-0.3603350159196823,-0.4967217992229664,0.4241738581325626,-0.5523324410379643
Romania,1.1048023128375235,-0.7917947931716115,-0.20868482390100868,-0.7949596324909717,-0.8607471375785423
San Marino,-1.3772962655232008,0.5988559404648122,-0.8201309706117832,0.5800960358343379,1.5014022048912483
Serbia,0.0710961462106426,-0.8601077905818445,0.3543233061053529,0.5800960358343379,-0.9907303430171002
Slovenia,0.7873443276551565,-0.3136922993748012,1.2328190217457922,0.16830674764019074,-1.193976809702845
Spain,-0.0286014028548944,-0.18425957424466313,-0.8507970879749985,-0.3434286247486206,0.49107819898245875
Sweden,-0.63990479580937,0.6130333243881273,-0.04603224900860405,0.8907562441349944,0.9294761009615946
Switzerland,-0.13879343076943504,0.8674297841151218,0.28096022244928004,1.4325937980944847,0.27601507725684493
Ukraine,1.4511201148546513,-0.8675868011554432,1.1607629965755233,-0.05745875623098478,-0.0489429363395495
United Kingdom,0.3413289765724921,0.41127935888659134,-0.8313713353555973,0.6800415450795195,1.2485257870380542
