,Unemployment,Inflation,Healthcare,City Safety
Oslo,25.800888284237963,3.5270959531510755,47.65965187043355,9.684178167125825
Bern,27.190376460052256,0.9812631708921076,47.46901326295181,10.277543997019082
Helsinki,24.329665509846357,2.6112503269851084,46.086883358709244,10.62460702959816
Zurich,27.026907262897634,0.9812631708921076,47.27837465547008,10.389499813980075
Copenhagen,25.8281331504304,2.823857347345065,45.181349973171,10.714171683166953
Geneva,25.93711261520015,0.9812631708921076,47.23071500359965,9.561026768468734
Ottawa,26.100581812354772,3.5216444910905635,46.086883358709244,9.493853278292137
Sydney,26.12782667854721,3.5216444910905635,47.183055351729216,8.687771396172993
Stuttgart,25.93711261520015,3.4126152498803295,44.70475345446667,8.810922794830086
Munich,26.046092079969895,3.4126152498803295,45.46730788439361,9.90808980104781
Stockholm,24.79282823511779,3.1291392227337207,45.75326579561621,9.090812337232567
Melbourne,25.74639855185309,3.5216444910905635,46.84943778863618,8.083209984583636
Amsterdam,25.991602347585026,4.661000061737512,45.56262718813447,9.426679788115543
Tokyo,26.20956127712452,0.48518012338554206,47.326034307340514,10.355913068891777
Leipzig,25.47394988992872,3.4126152498803295,45.181349973171,7.836907187269453
Vancouver,25.47394988992872,3.5216444910905635,46.13454301057968,8.866900703310582
Auckland,26.20956127712452,4.982636323307702,43.989858676410165,8.419077435466614
Hamburg,24.68384877034804,3.4126152498803295,45.22900962504144,8.105601147975836
Toronto,24.62935903796317,3.5216444910905635,46.325181618061414,8.654184651084696
Frankfurt (am Main),25.14701149561947,3.4126152498803295,45.13369032130058,7.836907187269453
Dusseldorf,24.547624439385853,3.4126152498803295,45.181349973171,8.486250925643208
Berlin,23.512319524073245,3.4126152498803295,44.275816587632775,8.363099526986117
Bremen,23.185381129763996,3.4126152498803295,45.181349973171,8.16157905645633
Liverpool,25.610174220890904,3.461678408424935,46.70645883302488,7.982449749318743
Glasgow,25.74639855185309,3.461678408424935,45.181349973171,7.993645331014843
Cologne,23.648543855035427,3.4126152498803295,44.89539206194841,7.8592983506616525
London,25.392215291351405,3.461678408424935,45.08603066943014,7.422670664513782
Paris,23.975482249344676,2.2950655274754292,45.705606143745776,6.8516959980127226
Graz,24.084461714114425,3.5816105737561927,44.51411484698494,9.493853278292137
Calgary,24.166196312691735,3.5216444910905635,46.22986231432054,8.239948128329024
