,z1,z2,z3,z4
Oslo,1.3609895123880742,-0.31934877612374063,-0.08726348176366311,0.08434475945986854
Bern,0.8092224559162873,-0.7464072859049402,-1.2405395455020227,-1.0090254657054667
Helsinki,0.9533362538539996,-0.042320940677511125,1.1958225898397257,-0.4475575749812153
Zurich,0.701829932957355,-0.4903796070350065,-1.2564431694397689,-1.1618384215896929
Copenhagen,1.6323296685871769,-1.066785262167928,0.36433497985812985,0.048174930968937726
Geneva,0.701829932957355,-0.4903796070350065,-1.2564431694397689,-1.1618384215896929
Ottawa,-2.0685895443390154,-0.330975590494585,-0.9745483636702807,0.1986186190206233
Sydney,-0.16436162480433814,0.29970935325879444,-0.842741779181885,1.4980607574676368
Stuttgart,-0.2173296497990666,-0.17336393982585965,1.0410240231763213,0.014772503626930465
Munich,-0.26028665898263975,-0.07095286827788568,1.0346625736012227,-0.04635267872676028
Stockholm,1.3484094608086576,0.27915147423840253,-0.7983649690071553,-0.7443507160959983
Melbourne,-0.16436162480433814,0.29970935325879444,-0.842741779181885,1.4980607574676368
Amsterdam,0.9445937901835464,-1.8173200446106155,-0.38242828460369604,0.4391992453560337
Tokyo,-2.8662581324442824,1.1743408956634818,0.30737766500704133,-2.1624462880928244
Leipzig,-0.38915768653335914,0.2362803463660362,1.015578224875927,-0.22972822578783253
Vancouver,-2.0685895443390154,-0.330975590494585,-0.9745483636702807,0.1986186190206233
Auckland,-0.6416559064535425,0.8659265551710204,-0.2955665225151413,1.8227612548200733
Hamburg,-0.2173296497990666,-0.17336393982585965,1.0410240231763213,0.014772503626930465
Toronto,-2.0685895443390154,-0.330975590494585,-0.9745483636702807,0.1986186190206233
Frankfurt (am Main),-0.19585114520728003,-0.22456947559984664,1.0442047479638705,0.045335094803775865
Dusseldorf,-0.17437264061549346,-0.2757750113738336,1.0473854727514198,0.07589768598062122
Berlin,-0.2817651635744263,-0.01974733250389867,1.0314818488136734,-0.07691526990360564
Bremen,-0.024023108472987914,-0.6342137617917413,1.0696505462642645,0.28983582421853804
Liverpool,1.5687689160470573,1.1130923642074992,-0.8955584760403931,0.060862144242350924
Glasgow,1.7191184481895632,0.7546536137895903,-0.8732934025275484,0.27480028248026855
Cologne,-0.08845862224834738,-0.4805971544697809,1.0601083719016167,0.19814805068800226
London,1.3539838701291915,1.6251477219473691,-0.9273657239158856,-0.24476376752610274
Paris,0.41132227057802356,1.0111403189652601,1.1273956285986917,-0.31267852261028234
Graz,0.4538352784989504,0.690275372335563,1.2168930619716523,0.43799508131935777
Calgary,-2.0685895443390154,-0.330975590494585,-0.9745483636702807,0.1986186190206233
